filters,kernel_size,l2_reg,num_layers,dropout_rate,num_heads,key_dim,attention_dropout,dense_units,dropout_rate2,learning_rate,val_loss
64,3,0.00046565855133472715,3,0.30000000000000004,6,64,0.30000000000000004,80,0.2,0.0009711569010515096,0.0022489377297461033
128,2,0.0038492732787359105,4,0.2,8,48,0.2,112,0.4,0.00011284127371086808,0.002214287407696247
128,5,0.008174895487086303,3,0.30000000000000004,2,32,0.2,96,0.30000000000000004,0.0018614191986076204,0.002600905019789934
128,3,0.00021344537598656533,5,0.2,4,64,0.2,32,0.4,0.0033276572881909957,0.0024425473529845476
256,2,0.0012584339358744161,2,0.4,2,48,0.30000000000000004,64,0.4,0.00013097028262026609,0.0022214448545128107
128,3,0.000509655304274329,4,0.30000000000000004,4,64,0.30000000000000004,112,0.2,0.001038536674208187,0.002253149403259158
64,2,0.004114773318984142,4,0.2,4,48,0.2,112,0.2,0.0058263756897235135,0.0028943754732608795
128,5,0.0006068110204571213,2,0.2,4,32,0.4,128,0.30000000000000004,0.0029902169136739785,0.0024644264485687017
256,5,0.006684722663543113,3,0.2,8,48,0.30000000000000004,80,0.4,0.0004571155244989825,0.0023525692522525787
192,5,0.005493060411680128,4,0.4,4,16,0.2,80,0.2,0.0024145767629439457,0.002591049764305353
128,2,0.0036910691744710153,4,0.2,8,16,0.30000000000000004,128,0.4,0.0004123608534849254,0.00233107409439981
128,5,0.004475458275879791,4,0.2,4,48,0.2,64,0.4,0.009228294434383139,0.003461554180830717
256,3,0.00018444106652649943,5,0.4,8,32,0.2,48,0.2,0.0005472836126493526,0.002185002900660038
128,2,0.00027012192566437996,2,0.2,4,16,0.30000000000000004,16,0.30000000000000004,0.00010295925479564696,0.002333894371986389
192,3,0.0014262609046090788,4,0.30000000000000004,8,48,0.2,64,0.4,0.002901772414053112,0.0025637629441916943
128,3,0.00031021969453869444,2,0.4,6,48,0.4,96,0.30000000000000004,0.002062409371960664,0.0023148052860051394
192,2,0.0002900336707812552,2,0.30000000000000004,4,48,0.2,64,0.4,0.000196840647887258,0.002167970407754183
192,2,0.00908820412978174,5,0.30000000000000004,6,48,0.4,80,0.30000000000000004,0.0006403415441595508,0.0024515255354344845
64,2,0.0018358362944139197,2,0.4,6,64,0.30000000000000004,16,0.2,0.00010450278707454006,0.0023408536799252033
64,5,0.009102387826446259,3,0.30000000000000004,8,64,0.4,80,0.2,0.0013826038243383546,0.0026163472793996334
